index,word,meaning
2499,arruído,"s. m. a) (barulho, ruído) gúwá, póngó póngwé (ri-ma). b) (clamor confuso de muitas vozes) húwá (yi-ti). c) (desordem, tumulto) mpfilúmpfilu, nghumbhe, nghulhú (yi-ti), nkhitsínkitsí (mu-mi)."
2500,arruinação,"s. f. a) (redução a ruínas) kuhohlota, kuhahlula; kuhohloka, kuhahluka (ku). b) (destruição) kuwónhá, kuhángálása; kuwónhéká, kusúvá (ku)."
2501,arruinado,"adj. a) (reduzido a ruina(s)) -á rhúmbí, á kúhóhlóka, á kúdílíka; -á kuwónhéká loc. adj. b) (reduzido à pobreza) -á kúchélíwá vusíwana, -á kuweliwa hí vusíwana; -á kuláhlékélíwa, -á kúwélíwa loc. adj. c) (prejudicado; perdido) -á kúqhítíwa, -á kukhúvázíwa, -á kuwónhélíwa loc. adj."
2502,arruinamento,"s. m. a) (redução a ruinas) kuhohlota, kuhahlula; kuhohloka, kuhahluka (ku). b) (destruição) kuwónhá, kuhángálása; kuwónhéká, kusúvá (ku)."
2503,arruinar,"v. t. a) (reduzir a ruinas) kuhohlota, kuhahlula v. t. b) (estragar, destruir) kuwónhá, kuhángálása, kusúvísá v. t. 2. v. pron. kuhohloka, kuwónhéká, kusúvá v. i.; kuweliwa, kuwónhékélíwa v. pass."
2504,arrulhar,"v i kukúkúlúka v i, kurila (ká túva, ká xituvána) v. t. & i."
2505,arrulho,"s. m. kukúkúlúka, kurila (ká túva, ká xituvána) (ku), nkúkúlúku (mu-mi)."
2506,arrumação,"s. f. a) (acto ou efeito de arrumar) kuvékétéla, kulungisela | kulunghisela (ku), kurumara (ku). (P). b) (boa disposição; arranjo metódico, ordem) kulunga, kululama (ku)."
2507,arrumadela,"s. f. (arrumação rápida) kulungiselanyana kulunghiselanyana (ku), kurumaranyana (ku). (P)."
2508,arrumado,"adj. a) -á kúlúngísíwa; -á kúlúlámísíwa loc. adj., á kúrúmáríwa loc. adj. (P). b) (posto de lado) -á kútshíkíwa, á kuvékíwa hí tlhélo loc. adj., -á kúrúmáríwa loc. adj. (P)."
2509,arrumador,"adj. & s. m. muvékétéli, mulungiseli (mu-va), murumari (mu-va). (P) arrumar."
2510,arrumar,"v. t. a) (colocar em ordem) kuvékétéla, kulungisela v. t., kurumara v. t. (P). || [arrumar em filas]: kuxoxela, kuxaxameta v. t. b) (pôr de lado) kutshika, kuvéka hí tlhélo v. t., kurumara v. t. (P). 2. v. pron. a) (preparar-se) kutilungísa, kutilungíséla | kutilunghisa, kutilunghiséla v. pron. b) (avir-se, arranjar-se) kutivónéla, kutiláyíthéla v. pron."
2511,arrumo,"s. m. a) (acto ou efeito de arrumar) kuvékétéla, kulungisela kulunghisela (ku), kurumara (ku). (P) arrumar. b) (boa disposição; arranjo metódico, ordem) kulunga, kululama (ku)."
2512,arsenal,"s. m. vuhlayiselo bzá mátlhari (vu), mpalana (yi-ti)."
2513,arte,"s. f. a) nxangu (yi-ti), svichachu (svi). b) (destreza, sobretudo para trabalhos manuais) vutshila (vu), malwandla (ma). || [obra de arte]: xixongi (xi-svi). c) (ofício, profissão, especialmente quando se trata de trabalho manual) árte (ri-ma). (P)."
2514,artefacto,s. m. xiyendlíwa (xi-svi).
2515,artelho,"s. m. a) (articulação; junta de ossos) nhlololwana (yi-ti), hlanganiso (ri-ma). b) (dedo do pé) xigundzwana | xikun'wana (xi-svi)."
2516,artéria,s. f. a) nsiha (mu-mi). b) (rua) xitaratu (xi-svi). (P) estrada.
2517,arterial,"adj. 2 gen. -á nsíha, -á mínsíha loc. adj."
2518,artesanal,adj. 2 gen. -á vútshíla; -á kuyendliwa hí mavókó loc. adj.
2519,artesanato,"s. m. a) (arte e técnica do trabalho manual não industrializado, realizado por artesão) vutshila (vu). b) (o conjunto ou a classe dos artesãos) vatshila (va). c) (conjunto das peças de produção artesanal) vutshila (vu), svikélékédána (svi). d) (local onde se exerce ou ensina o artesanato) vutshileni, svikélékédáníni (ku)."
2520,artesão,"s. m. mutshila (mu-va), nsíní (yi-ti)."
2521,articulação,"s. f. a) (acto ou efeito de articular(-se)) kuhlanganisa, kuhlangana (ku), nhlanganu, nhlanganiso (mu-mi). b) (pronunciação distinta das palavras) vúléla (ri-ma). c) (articulação; junta de ossos) nhlololwana (yi-ti), hlanganiso (ri-ma)."
2522,articulador,"adj. & s. m. a) (que articula, que possibilita a articulação) xihlanganisi (xi-svi). b) (Diz-se de ou pessoa que articula, que estabelece contactos, combinações, etc.) muhlanganisi, mutwánánísi (mu-va). c) (Diz-se de ou cada um dos órgãos fonadores) xipfumisaritó (xi-svi)."
2523,articular,"v. t. a) (unir pelas articulações) kuhlanganisa v. t. b) (pronunciar, proferir) kukánélá v. t. c) (pronunciar com distinção e clareza (palavra ou fonema)) kuvúlá v. t. 2. adj. 2 gen. -á máhlángáníso loc. adj."
2524,articulatório,adj. a) (referente a articulação) -á máhlángáníso loc. adj. b) (referente a produção dos sons de fala) -á mapfumíséla yá rito loc. adj.
2525,artífice,s. m. makhandhana (mu-va). (plural: vámakhándhana).
2526,artificial,"adj. a) (produzido pela arte ou pela indústria; não natural) -á kúyéndlíwa loc. adj. b) (postiço) -á kuvékélá loc. adj., -á poxtísá loc. adj. (P) postiço). c) (que não é espontâneo; fingido) -á vuxísí, -á kukángányísa loc. adj."
2527,artificio,"s. m. a) (recurso engenhoso) rhengú, qhinga (ri-ma). b) (habilidade, perspicácia) vutlhárí vutlhárhí (vu). c) (ardil concebido com arte e malicia; astúcia, manha) manu (ma), svixangu (svi)."
2528,artificioso,"adj. -á máqhínga, -á vukángányísi, -á vuxísí loc. adj."
2529,artigo,"s. m. a) (cada uma das divisões, ordinalmente numeradas, de lei, decreto, tratado; cada uma das partes de um escrito que se quer destacar) ndzimáná (yi-ti). [cf. alínea, versículo, capítulo]. b) (texto de uma publicação (jornal, revista, tese, etc.)) xitsálwaná (xi-svi). c) (produto, item) xilo (xi-svi). d) (Ling.) (palavra variável que precede o substantivo, indicando-lhe o gênero e o número) artigu (ri-ma). (P)."
2530,artilharia,s. f. a) (conjunto de canhões) mikhulúvana (mi). b) (ciência que ensina as regras para utilização do material de artilharia) ntívómatirhíséla yá míkhulúvana (mu). (sem plural).
2531,artilheiro,"a) (soldado de artilharia) mubáléséli wá míkhulúvana (mu-va). b) (especialista em artilharia) ntívámatirhíséla yá míkhulúvana (yi-ti), mutívámatirhíséla yá míkhulúvana (mu-va). c) (Fut.) mugólíséli, n'wásvíbamu (mu-va)."
2532,artimanha,"s. f. a) (logro) vukángányísi (vu), nkángányíso (mu-mi). b) (astúcia, manha) rhengú, qhinga (ri-ma), manu (ma)."
2533,artista,"s. 2 gen. mutshila (mu-va), nsini (yi-ti), artíxta (mu-va). (P)."
2534,artístico,"adj. -á vútshíla, -á vunsíní loc. adj."
2535,artrite,"s. f. nyamakazi, nyókajundzú (yi-ti), xifámbí, xinyálú (xi-svi)."
2536,arvorar,"v. t. a) (plantar árvores em) kubzálá minsínya; kubzálétélá minsínya v. t. b) (elevar ou levantar perpendicularmente) kudzima v. t., kutlakusa; kuyímísá kunyímísá v. caus. c) (ostentar, alardear) kuqhálámbísa v. t."
2537,árvore,"s. f. nsinya, murhí (mu-mi). || [árvore genealógica]: rixakaviri (ri-ti). || [árvore de natal]: ximurháná (xi-svi)."
2538,arvorecer,v i kukúlá vunsínya v. i.
2539,árvore-da-borracha,s. f. (seringueira) xifiringoma (xi-svi).
2540,árvore-de-natal,s. f. (cedro-japonês) nkedári (mu-mi).
2541,arvoredo,s. m. minsínya (mi).
2542,arvorejar,v. t. kubzálá minsínya; kubzálétélá minsínya v. i.
2543,arvoreta,"s. f. (pequena árvore) xinsínyana, ximujáná (xi-svi)."
2544,as,"art.f. pl. lava, lesvi, leti, etc. dem. Ex.: casas grandes/as casas grandes tiyindlo tikúlu/tiyindlo létí tikúlu. NOTA: Cf Tabela de concordância nominal na coluna dos demonstrativos. 2. pron. p. f. pl. (da 3.º p. do pl., o, forma obliqua) mi, svi, ti, etc. marca de conc. Ex.: Ví as raparigas e chamei-as. Ndzivóné tíntombhí, ndzítivítáná. NOTA: Cf. Tabela de concordância nominal na coluna dos objectos. 3. pron.dem.f. pl. (aquelas) lava, lesvi, leti, etc. dem. Ex.: as (raparigas) que vi. (tintombhí) létí ndzítívóneké. NOTA: Cf. Tabela de concordância nominal na coluna dos demonstrativos."
2545,ás,"s. m. a) (carta de baralho marcada com um só ponto e que inicia (ou, conforme o jogo, termina) a sequência de cartas de cada naipe) áxji (ri-ma). (P). b) (fig.) (pessoa eximia em determinada actividade) nsíní (yi-ti)."
2546,asa,"s. f. 1. a) (de ave) ripapá, ripiko (ri-ti) mpiko (yi-ti). b) (de ave, de avião) ripapá (ri-ti). 2. (pega) xikhómó (xi-svi)."
2547,asa-delta,s. f. ázadélta (ri-ma). (P).
2548,asado,"adj. & s. m. -á tímpapá, -á tímpíko; -á kuháha loc. adj."
2549,asmo,adj. (sem fermento) -á kukálá cómélá loc. adj.
2550,asbesto,"s. m. mpfulu (mu-mi), marílárila (ma)."
2551,asfaltagem,s. f. a) (alcatroamento) kuchela rikatarawu (ku). b) acto ou efeito de betumar) kutota nhlaká (ku).
2552,ascendência,"s. f. a) (subida) kukhwélá, kukhupuka, kutlhantuka | kutlhandluka, kutlakuka (ku), nkhwélo, nkhupuku, ntlhantuku Intlhantluku, ntlakuku (mu-mi). b) (origem, estirpe) ndhavuku (mu-mi); rixaka (ri-ti). c) (os antepassados, os avós) vákókwána (va). d) (predomínio, preponderância) matimbá (ma), ntikelo (mu-mi)."
2553,ascendente,"adj. 2 gen. (que sobe, se eleva) -á kukhwélá, -á kúkhúpúka, -á kútlhántúka -á kútlhándlúka loc. adj. 2. s. m. (predominio) matimbá (ma), ntikelo (mu-mi). 3. s. 2 gen. (pessoa de quem se descende; antepassado) kókwána (mu-va). [cf. avô]."
2554,ascender,"v. i. kukhwélá, kukhupuka, kutlakuka, kukhándzíyá, kutlhantuka | kutlhandluka v. i."
2555,asfaltar,v. t. a) (alcatroar) kuchela rikatarawu v. t. b) betumar) kutota nhlaká v. t.
2556,asfalto,s. m. a) (alcatrão) rikatarawu (ri). (P). b) (betume) nhlaká (mu-mi).
2557,asfixia,"s. f. xikhumé, xihihí, xihlúkú (xi-svi)."
2558,asfixiado,adj. -á kuhíngíwá; -á kutlímbíwá v. t.
2559,ascensão,"s. f. kukhwélá, kukhupuka, kutlhantuka kutlhandluka, kutlakuka (ku), nkhwélo, nkhupuku, ntlhantuku |ntlhandluku, ntlakuku (mu-mi)."
2560,ascensional,"adj. 2 gen. a) (relativo a ascensão) -á kukhwélá loc. adj. b) (que faz subir) -á kukhwélísá, -á kúdékúla loc. adj."
2561,ascensor,"adj. a) (que ascende) -á kukhwélá, -á kutlhántúka |-á kútlhándlúka loc. adj. b) (Diz-se de máquina elevatória) -á kukhwélísá, -á kutlhántúkísa á kútlhándlúkísa loc. adj. 2. s. m. a) (o que ascende) xikhwéli, xitlhantuki | xitlhandluki (xi-svi). b) (elevador) levhadóri (ri-ma). (P), khéxe (ri-ma). (1) cage, xitlhantukisi \ xitlhandlukisi (xi-svi)."
2562,asco,"s. m. (nojo, repugnância) manyényó (ma), xinyényó (xi-svi), nyényéntso, mpitsuku (mu-mi)."
2563,asfaltado,adj. a) (revestido de alcatrão) -á kúchélíwá ríkátáráwu loc. adj. b) (betumado) -á kúchélíwá nhlaká loc. adj.
2564,asfixiante,"adj. 2 gen. -á kuhíngá, -á kutlímba, -á kúvángá xíkhumé loc. adj."
2565,asfixiar,"v. t. (sufocar) kuhíngá, kutlímba v. t."
2566,Ásia,s. prop.f. Áziya (ku).
2567,asiático,adj. -á Áziya loc. adj. 2. s. m. muáziyá (mu-va).
2568,asilado,"adj. -á kúlúvéla, -á kurhúrhélíwa, -á kukhónzhá |-á kukhózá loc. adj. 2. s. m. muluveli, murhúrhéliwa, mukhónzhí | mukhózí (mu-va)."
2569,asilar,"v. t. (dar guarida, dar protecção) kulu- veta, kuluvelisa v. caus., kurhúrhélá v. t. 2. v. pron. (asilar-se) kuluvela, kuchávélá v. i. (asilar-se) kukhóndza v. i. (procurar refúgio) kukhúléká v. i."
2570,asiliência,"s. f. (restabelecimento, volta ao bem-estar) kutshámíséka kámbe, kutítwa khwátsi kámbe; kuvúyávúya (ku)."
2571,asilo,"s. m. a) (instituição de assistência social) vurhúrhélo, vuhlayiselo (vu), svisíwaníni (ku). b) (ext.) (protecção, amparo, segurança) nsékétélo, nsírhélélo, nhlayiseko (mu-mi)."
2572,asinino,adj. -á tímbóngólo loc. adj.
2573,asma,"s. f. rifúvá (ri) xifúvá (xi), mavábzi yá xifúvá (ma), phika (ri-ma)."
2574,asmático,"adj. & s. m. -á rifúvá |-á xifúvá, -á mavábzi yá xifúvá, -á phíka loc. adj."
2575,asneira,"s. f. a) (palavra obscena) nhlambhá (yi-ti). b) (acto ou dito impensado) vuntlunyá, vumbongolo (vu), mihariharí (mi)."
2576,asnice,"s. f. (acto ou dito impensado) vuntlunyá, vumbongolo (vu), miharíharí (mi)."
2577,asno,"s. m. a) (jumento) ximbongolwana (xi-svi), mbongolwana (yi-ti). b) (fig.) (burro) mbongolo (yi-ti) (fig.)."
2578,aspas,"s. f. pl. (sinal de pontuação («» ou """")) svinghénélo (svi), tinhlayelo (ti)."
2579,aspecto,"s. m. matsháméla, matikómbéla (ma), tlhelo (ri-ma)."
2580,aspectual,"adj. 2 gen. á matsháméla, -á matikómbéla loc. adj."
2581,aspereza,"s. f. a) (qualidade ou estado de áspero) kukhwáxá, kukhwáxálá, kugwányá (ku), nkhwáxálu (mu-mi). b) (severidade, rispidez) kukárháta, kutika (ku). c) (rugosidade numa superficie) makwakwarimba (ma)."
2582,aspergido,adj. -á kúxúvíwa loc. adj.
2583,aspergir,v. t. kuxuva v. t.
2584,aspermia,"s. f. rikálávúdzonyó (ri). (obsc.), rikálávunúná (ri). (euf.)."
2585,aspérmico,"adj. -á kukálá vúdzonyó loc. adj. (obsc.), -á kukálá vunúná loc. adj. (euf.)."
2586,assalariado,adj. & s. m. a) -á muhólo; -á kúhólélíwa loc. adj. b) muthóliwa (mu-va).
2587,aspiração,"s. f. a) (acto de aspirar) héfémúlu, nkóko wá moya (mu-mi). b) (desejo intenso de alcançar um objectivo) kuxuva, kunavela, kufísá (ku), nxuvu, navelo (mu-mi). c) (pronúncia com aspiração) héfémútu (mu-mi). d) (acto de inalar) kudzaha, kudzahela (ku)."
2588,aspirado,"adj. a) (atraído) -á kukókíwá loc. adj. b) (cheirado) -á kúnún'hwíwa, -á kúnún'hútíwa loc. adj. c) (sugado) -á kupsóngíwá loc. adj. d) (inalado como rapé) -á kúdzáhíwa loc. adj. e) (pronunciado com aspiração) -á kuhéfémútíwa loc. adj. f) (desejado ardentemente) -á kúnávélíwa, -á kúxúvíwa, -á kufísíwá loc. adj."
2589,aspirador,adj. & s. m. xipsóngí (xi-svi).
2590,aspirar,"v. t. a) (atrair (o ar) aos pulmões; inspirar) kuhéfémúla, kukóká moya v. i. b) (atrair por meio de formação de vácuo ou de rarefação do ar) kukóká v. t. c) (cheirar) kunun'hwa, kunun'huta v. t. d) (sugar) kupsóngá v. t. e) (inalar, por exemplo, rapé) kudzaha v. t. f) (pronunciar com aspiração) kuhéfémúta v. caus. g) (desejar ardentemente; pretender) kunavela, kuxuva, kufísá v. t."
2591,aspermo,"adj. -á kukálá vúdzonyó loc. adj. (obsc.), -á kukálá vunúná loc. adj. (euf.)."
2592,áspero,"adj. a) -á kukhwáxá, -á kugwányá loc. adj. b) (fig.) (abrupto, rude) -á kulévá, -á kukárhátá loc. adj."
2593,aspersão,s. f. nxuvu (mu-mi).
2594,asperso,adj. (aspergido) -á kúxúvíwa loc. adj.
2595,aspersor,s. m. xifafazeli (xi-svi).
2596,áspide,"s. m. & f. xivatlankómbé (xi-svi), nyakuvátlwa | kuvátlwa, kuvátlwe (mu-va)."
2597,aspirina,s. m. axpirína (ri-ma). (P).
2598,asqueroso,adj. -á kunyényéntsá loc. adj.
2599,assacar,v. t. (atribuir (a alguém) a responsabilidade de; imputar) kurhwéxá v. caus.
2600,assadeira,"s. f. xiwoxo, xikátíngélo (xi-svi), pání (ri-ma). (1) pan."
2601,assado,"adj. -á kúwóxíwa, -á kukátíngíwa loc. adj. 2. s. m. xiwoxo (xi-svi)."
2602,assador,"s. m. a) (assadeira) xiwoxo, xikátíngélo (xi-svi), pání (ri-ma). (1) pan. b) (a pessoa que assa) muwoxi, mukátíngi (mu-va)."
2603,assadura,"s. f. kuwoxa, kukátíngá (ku), muwoxo (mu-mi)."
2604,assalariar,v. t. a) (contratar mediante salário) kuthólá v. t. b) (dar salário a) kuholela v. t. 2. v. pron. (empregar-se por salário) kutirhela muholo v. i.
2605,assaltado,"adj. -á kuhlásélíwa, -á kunghénelíwa, -á kúdúmélíwa; -á kúgwájísíwa, -á kugévéngíwa loc. adj."
2606,assaltador,"s. m. mudumeli, muhlásélí, mugwajisi (mu-va)."
2607,assaltante,"adj. 2 gen. & s. 2 gen. mudumeli, muhlásélí, mugwajisi (mu-va)."
2608,assaltar,"v. t. kuhlásélá v. t., kudumela v. t. (Z) ukudumela. || [assaltar na rua]: kugwajisa, kugévéngá v. t."
2609,assalto,"s. m. vudumeli, vuhlaseli (vu), nhlásélo, mugwajiso (mu-mi)."
2610,assanhadiço,"adj. -á xikwatísa, -á xikwatísana, -á vúmpsáka; -á mahlúndzú, á ximbilwáná loc. adj."
2611,assanhado,"adj. -á kúkwátísíwa, -á kukwáta, kuhlúndzúká loc. adj."
2612,assanhamento,s. m. kukwátísá; kukwátá (ku).
2613,assanhar,v. t. kukwátísá v. caus. 2. v. pron. kukwátá v. i.
2614,assanho,s. m. kukwátá (ku).
2615,assar,"v. t. kuwoxa, kukátíngá v. t."
2616,assassinamento,"s. m. kudláyá, kusíláhá (ku), vudláyí, vusíláhí (vu)."
2617,assassinar,"v. t. kudláyá, kusíláhá v. t., kukhásáméta v. t. (fig.) [derrubar, liquidar]."
2618,assassinato,"s. m. vudláyí, vusíláhí (vu)."
2619,assassínio,"s. m. kudláyá, kusíláhá (ku), vudláyí, vusíláhí (vu)."
2620,assassino,"s. m. mudláyí, musíláhí (mu-va), xigevenga (xi-svi), xikelemu (xi-svi). (A) skelm."
2621,assaz,"adv. (bastante, suficientemente; em alto grau, muito) ngopfu, svinene adv. Ex.: Ficou assaz irritado a ponto de negar-se a comer: Akwaté ngópfu lákákuvá áyálá kujá. 2. pron. indef. (bastante, suficiente, ou muito) -á kúnghási Ex.: Com assaz dor no coração, respondeu o seguinte: Na átlhavéké ká kúnghási mbilwíni, áhlamulé lesvi:."
2622,asse,s. m. (antiga moeda romana de cobre) áse (yi-ti). (P).
2623,asseado,"adj. (pessoa asseada; elegante) -á kubása, -á kutirhándzá loc. adj., njinga (yi-ti), matirhándzí (mu-va)."
2624,assear,"v. t. (limpar, lavar) kubasisa v caus., kuhlampsa v. t. 2. v. pron. a) (limpar-se; lavar-se) kutibasísa v. pron., kubasa, kuhlamba v. t. b) (vestir-se com apuro) kuhavela, kutháyá, kudárá, kuzényá, kubómbá | kuvómbá, kuchépá v. i. (1) shape, kutichúná v. pron. (Al) schön."
2625,assedentado,adj. -á tórhá loc. adj.
2626,assediador,"adj. & s. m. (apoquentador) muxanisi, muhluphí, mulandzelelí (mu-va)."
2627,assediante,"adj. 2 gen. & s. 2 gen. (apoquentador) muxanisi, muhluphí, mulandzelelí (mu-va)."
2628,assediar,"v. t. (apoquentar, fazer sofrer) kuxanisa, kuhlupha, kulandzelela v. t."
2629,assédio,"s. m. a) (cerco posto a um reduto para o tomar) xirhendzéla (xi-svi). b) (fig.) (insistência importuna, junto de alguém, com perguntas, propostas, pretensões, etc.) xilandzélelá, xikhokhókho (xi-svi)."
2630,assegurar,"v. t. a) (tornar seguro; garantir) kupfumelela, kutíyísá v. t. b) (afirmar com segurança ou certeza; asseverar) kutíyísá v. t. c) (dar, oferecer ou permitir de modo certo ou seguro) kupfumelela v. apl."
2631,asseio,"s. m. a) (limpeza, higiene) vubasi (vu). b) (esmero no vestir) kutirhándzá (ku), vunjinga (vu)."
2632,assembleia,"s. f. a) húvú (yi-ti). || [Assembleia da República]: Húvú yá Tiko.|| [Assembleia Municipal]: Húvú yá Dórópa. || [Assembleia da Localidade]: Húvú yá Múgangá. [cf. tribunal, conselho]. || [assembleia geral]: ntsómbánu (mu-mi), nhlengeletanu yá svirhó hínkwásvu (yi-ti). || [assembleia de anciãos]: vándlá | b'ándlá (ri-ma). b) nhlengeletanu (yi-ti)."
2633,assemelhar,"v. t. kufánísá, kufánánísa v. caus. 2. v. pron. assemelhar-se kufáná v. i."
2634,assenhorear,"v. t. (dominar como senhor ou dono) kufúmá v. t. 2. v. pron. (apoderar-se) kutéká, kutshúmbá v. t."
2635,assentada,s. f. a) (sessão forense para inquirição de testemunhas) nhlanganu wá kúkónánísá timbóní (mu-mi). b) (termo que se lavra do depoimento de testemunhas) makánelwá (ma). c) (tempo ininterrupto em que se está sentado) ntshámú; ntshámíso (mu-mi). || [de uma assentada]: hí kán'we loc. adv.
